1	One Piece
2	Dandadan
3	SPY x FAMILY
4	SAKAMOTO DAYS
5	Boruto: Two Blue Vortex
6	Kagurabachi
7	Hunter x Hunter
8	Mayori Academy
9	The Ura Files
10	Salamander
11	Ichi the Witch
12	Graykeith: Translator Daemonica
13	Centuria
14	Noisering
15	Hitoner
16	Morino-san Just Won't Leave Me Be
17	Ayaru's Brush with Romance
18	KAKAKAKA
19	Phantom Busters
20	MAD
21	Monkey Hunting
22	Asura’s Verdict
23	Evangeline Puts on Shoes
24	RuriDragon
25	Make the Exorcist Fall in Love
26	WITCHRIV
27	So you weren't into me?!
28	MARRIAGETOXIN
29	Drama Queen
30	Hero Organization
31	The Hero’s Bereaved Family
32	The Marshal King
33	Gokurakugai
34	Seraph of the End: Vampire Reign
35	Subaru the Invincible
36	Ultimate Exorcist Kiyoshi
37	Akane-banashi
38	Choujin X
39	Twilight Blade
40	Blue Exorcist
